rank bib last_name first_name country diff exec total qual
1 331 DALALOYAN Artur RUS 6.200 8.633 14.833 Q
2 269 SHIRAI Kenzo JPN 6.800 8.033 14.833 Q
3 334 NAGORNYY Nikita RUS 6.400 8.400 14.800 Q
4 313 YULO Carlos Edriel PHI 6.200 8.566 14.766 Q
5 369 ONDER Ahmet TUR 6.000 8.533 14.533 Q
6 380 MOLDAUER Yul USA 5.800 8.633 14.433 Q
7 249 DOLGOPYAT Artem ISR 6.400 8.000 14.400 Q
8 268 KAYA Kazuma JPN 5.700 8.633 14.333 Q
8 378 MIKULAK Samuel USA 5.700 8.633 14.333 Q
10 208 HALL James GBR 5.900 8.433 14.333 R1
11 345 GISCHARD Benjamin SUI 6.000 8.233 14.233 R2
12 202 FRASCA Loris FRA 5.900 8.300 14.200 R3
13 299 SCHMIDT Casimir NED 6.000 8.200 14.200
14 157 XIAO Ruoteng CHN 6.100 8.100 14.200
14 280 KIM Hansol KOR 6.100 8.100 14.200
16 154 DENG Shudi CHN 5.900 8.366 -0.1 14.166
17 276 KARIMI Milad KAZ 5.800 8.366 14.166
18 220 NGUYEN Marcel GER 6.100 8.066 14.166
19 206 CUNNINGHAM Dominick GBR 6.000 8.116 14.116
20 361 TANG Chia-Hung TPE 6.100 8.100 -0.1 14.100
21 192 ZAPATA Rayderley ESP 6.400 8.000 -0.3 14.100
22 344 BRAEGGER Pablo SUI 5.600 8.466 14.066
23 134 VROLIX Jonathan BEL 5.900 8.166 14.066
24 153 GONZALEZ Tomas CHI 6.100 7.966 14.066
25 303 SKJERAHAUG Stian NOR 5.400 8.633 14.033
26 272 TANIGAWA Wataru JPN 5.900 8.133 14.033
27 143 MARIANO Arthur BRA 5.600 8.466 -0.1 13.966
28 131 KUAVITA Noah BEL 5.500 8.466 13.966
29 282 LEE Junho KOR 5.800 8.166 13.966
29 375 VASYLENKO Maksym UKR 5.800 8.166 13.966
31 209 WHITLOCK Max GBR 5.900 8.066 13.966
32 381 van WICKLEN Colin USA 5.500 8.433 13.933
33 359 LEE Chih Kai TPE 5.800 8.133 13.933
34 325 DRAGULESCU Marian ROU 5.500 8.400 13.900
35 333 LANKIN Dmitrii RUS 6.100 8.100 -0.3 13.900
36 198 SAARENKETO Heikki FIN 6.000 8.000 -0.1 13.900
37 172 LERU Randy CUB 5.900 8.000 13.900
38 195 KIRMES Oskar FIN 5.500 8.366 13.866
39 203 GOBAUX Julien FRA 5.800 8.133 -0.1 13.833
40 189 MIR Nicolau ESP 5.700 8.133 13.833
41 149 MORGAN Scott CAN 5.900 7.933 13.833
42 352 LIDBECK Filip SWE 5.100 8.708 13.808
43 270 TANAKA Yusuke JPN 5.100 8.966 -0.3 13.766
44 376 VERNIAIEV Oleg UKR 5.700 8.066 13.766
45 129 GENTGES Maxime BEL 5.200 8.533 13.733
46 367 COLAK Ibrahim TUR 5.300 8.433 13.733
47 205 BEVAN Brinn GBR 5.900 8.133 -0.3 13.733
48 128 TIKHONOV Ivan AZE 5.500 8.208 13.708
49 286 KUZMICKAS Tomas LTU 5.300 8.400 13.700
50 137 SANUVONH Dzianis BLR 5.400 8.300 13.700
