rank bib last_name first_name country diff exec total qual'
1 228 HASHIMOTO Daiki JPN 6.600 8.400 15.000 Q
2 235 KARIMI Milad KAZ 6.300 8.300 14.600 Q
3 227 CHIBA Kenta JPN 5.700 8.800 14.500 Q
4 153 SRBIC Tin CRO 5.900 8.533 14.433 Q
5 144 SU Weide CHN 6.000 8.300 14.300 Q
6 308 JUDA Paul USA 5.400 8.766 14.166 Q
7 229 KAYA Kazuma JPN 5.900 8.266 14.166
8 138 DOLCI Felix CAN 5.700 8.433 14.133 Q
9 128 MARIANO Arthur BRA 5.800 8.333 14.133 Q
10 258 DEURLOO Bart NED 5.800 8.300 14.100 R1
11 220 ABBADINI Yumin ITA 5.900 8.133 14.033 R2
12 188 JARMAN Jake GBR 5.500 8.466 13.966 R3
13 110 BULL Tyson AUS 5.600 8.366 13.966
14 192 BRENDEL Pascal GER 5.400 8.533 13.933
15 129 MIRANDA Bernardo BRA 5.300 8.566 13.866
15 137 COURNOYER Rene CAN 5.300 8.566 13.866
17 232 SUGIMOTO Kaito JPN 5.400 8.466 13.866
18 186 HALL James GBR 5.600 8.233 13.833
19 114 MORGANS Mitchell AUS 5.600 8.200 13.800
20 155 ESCOBAR Diorges CUB 5.700 8.100 13.800
21 284 SEIFERT Noe SUI 5.500 8.233 13.733
22 267 YULO Carlos Edriel PHI 5.400 8.300 13.700
23 218 MYAKININ Alexander ISR 5.700 8.000 13.700
24 259 GRUENBERG Jermain NED 5.600 8.066 13.666
25 285 SERHANI Taha SUI 5.900 7.766 13.666
26 173 MIR Nicolau ESP 5.200 8.433 13.633
27 130 SAMPAIO Patrick BRA 5.400 8.200 13.600
28 299 ONDER Ahmet TUR 5.800 7.800 13.600
29 193 DAUSER Lukas GER 5.300 8.266 13.566
30 297 DODANLI Emre TUR 5.200 8.333 13.533
31 182 DESANGES Lucas FRA 5.300 8.200 13.500
32 242 LEE Junho KOR 5.600 7.900 13.500
33 145 SUN Wei CHN 5.800 7.666 13.466
34 217 LIUBIMOV Ilia ISR 5.100 8.333 13.433
35 279 DEJANOVIC Ivan SRB 5.300 8.133 13.433
