rank bib last_name first_name country diff exec total qual
1 147 ZOU Jingyuan CHN 6.500 9.200 15.700 Q
2 228 KAMOTO Yuya JPN 6.500 8.933 15.433 Q
3 188 DAUSER Lukas GER 6.600 8.800 15.400 Q
4 262 YULO Carlos Edriel PHI 6.300 9.000 15.300 Q
5 290 ARICAN Ferhat TUR 6.600 8.600 15.200 Q
6 148 CALVO MORENO Jossimar Orlando COL 6.700 8.466 15.166 Q
7 182 FRASER Joe GBR 6.500 8.566 15.066 Q
8 185 REGINI-MORAN Giarnni GBR 6.400 8.566 14.966 Q
9 297 KOVTUN Illia UKR 6.600 8.366 14.966 R1
10 231 TANIGAWA Kakeru JPN 6.300 8.633 14.933 R2
11 146 ZHANG Boheng CHN 6.400 8.500 14.900 R3
12 305 WALKER Colt USA 6.200 8.666 14.866
13 230 TANIGAWA Wataru JPN 6.300 8.566 14.866
14 159 GEORGIOU Marios CYP 6.100 8.733 14.833
15 169 MIR Nicolau ESP 5.900 8.866 14.766
16 227 HASHIMOTO Daiki JPN 6.100 8.633 14.733
17 170 PLATA Joel ESP 5.800 8.866 14.666
18 271 MUNTEAN Andrei Vasile ROU 5.900 8.700 14.600
19 301 HONG Asher USA 6.000 8.600 14.600
20 223 LEVANTESI Matteo ITA 5.900 8.633 14.533
21 200 BALAZS Krisztian HUN 6.100 8.433 14.533
22 204 MESZAROS Krisztofer HUN 6.200 8.300 14.500
23 140 ZAKUTNEY Samuel CAN 5.800 8.600 14.400
24 168 DIALLO Thierno ESP 6.100 8.266 14.366
25 126 van den KEYBUS Luka BEL 6.000 8.333 14.333
26 167 ABAD Nestor ESP 5.800 8.500 14.300
27 284 HUNG Yuan-Hsi TPE 5.900 8.400 14.300
28 307 ABDURAKHIMOV Rasuljon UZB 6.000 8.233 14.233
29 258 WIBYE Harald NOR 5.400 8.800 14.200
30 184 JARMAN Jake GBR 5.900 8.266 14.166
31 189 DUNKEL Nils GER 6.000 8.133 14.133
32 220 BARTOLINI Nicola ITA 5.100 9.000 14.100
33 131 SOARES Diogo BRA 5.500 8.600 14.100
34 202 KARDOS Botond HUN 5.200 8.766 13.966
