rank bib last_name first_name country diff exec total qual
1 208 PETROUNIAS Eleftherios GRE 6.300 9.100 15.400 Q
2 294 ABLIAZIN Denis RUS 6.300 9.033 15.333 Q
3 320 COLAK Ibrahim TUR 6.200 8.833 15.033 Q
4 184 AIT SAID Samir FRA 6.200 8.766 14.966 Q
5 143 LIU Yang CHN 6.300 8.500 14.800 Q
6 193 TULLOCH Courtney GBR 6.400 8.366 14.766 Q
7 326 RADIVILOV Igor UKR 6.300 8.433 14.733 Q
8 131 ZANETTI Arthur BRA 6.200 8.500 14.700 Q
9 333 NADDOUR Alexander USA 6.000 8.633 14.633 R1
10 335 WHITTENBURG Donnell USA 6.100 8.533 14.633 R2
11 299 NAGORNYY Nikita RUS 6.000 8.566 14.566 R3
12 213 NG Kiu Chung HKG 6.100 8.466 14.566
13 233 LODADIO Marco ITA 6.300 8.266 14.566
14 312 CHEN Chih-Yu TPE 6.300 8.233 14.533
15 245 TANIGAWA Wataru JPN 6.000 8.433 14.433
16 110 DAVTYAN Vahagn ARM 6.200 8.233 14.433
17 119 HOECK Vinzenz AUT 5.900 8.466 14.366
18 173 ZAHRAN Ali EGY 6.100 8.233 14.333
19 332 MOLDAUER Yul USA 5.700 8.600 14.300
20 207 KONSTANTINIDIS Konstantinos GRE 6.200 8.100 14.300
21 195 WILSON Nile GBR 5.700 8.500 14.200
22 130 SOUZA Caio BRA 6.000 8.200 14.200
23 157 LARDUET Manrique CUB 6.100 8.100 14.200
24 109 DAVTYAN Artur ARM 5.700 8.466 14.166
25 201 NGUYEN Marcel GER 5.900 8.266 14.166
26 138 MORGAN Scott CAN 6.000 8.166 14.166
27 295 BELYAVSKIY David RUS 5.500 8.633 14.133
28 305 YUSOF Eddy SUI 5.600 8.533 14.133
